# 隠している語の一覧。列は「重み<TAB>ERE パターン<TAB>何を隠すか: 直し方」。
# hard = ほぼ常に誤り / soft = 文脈で判断する候補。分類は references/ng-phrases.md。
# 追加するときは直し方を必ず書く。直し方が書けないなら、それは規範ではなく好みである。
hard	承知しました|了解しました|かしこまりました	答えを隠す: 消して答えから始める
hard	以下に(説明|示し|記載)|以下のとおり対応	答えを隠す: 予告を消し、結果を1文目に置く
hard	何かご(不明|質問)|お気軽に(お|ご)	答えを隠す: 消す。判断が要るならその問いだけを書く
hard	まとめると|要するに	答えを隠す: 直前の言い換えなら、その文ごと消す
hard	重要なのは	答えを隠す: 主張をそのまま書く
soft	については、	答えを隠す: 主題の再提示を落として述語から書く
hard	正常に完了|問題ありません|問題なく完了	根拠を隠す: 何を実行して何を見たかを書く
hard	と思われます|と考えられます|と想定されます	根拠を隠す: 根拠があるなら言い切る。無いなら未確認と書く
hard	完璧|素晴らしい	根拠を隠す: 自分の成果を評価しない
soft	一般的に|ベストプラクティス|セオリー	根拠を隠す: 出所を書く。書けないなら自分の判断として書く
soft	シンプルに|クリーンに|きれいに|美しく	根拠を隠す: 自分の成果への評価を消す
soft	知見|示唆|洞察	根拠を隠す: 中身を1文で書く。書けないならその行は要らない
soft	対応しました|実施しました|修正しました	根拠を隠す: 何が変わったかを書く
soft	が求められ|が期待され	主体を隠す: 誰が要求しているのかを書く
soft	されていない|されておらず|されていません	主体を隠す: 誰がしていないのかを書く
soft	を提供する|を可能にする|を実現する	主体を隠す: 無生物主語をやめ、何ができるようになるかを書く
soft	必要があ(る|ります)	主体を隠す: 誰の作業かを主語で書く
hard	しっかりと|きちんと|適切に|適宜	量を隠す: 消す。条件か数で書く
hard	非常に|極めて|大いに|かなり|大幅に	量を隠す: 数を書く。無いなら形容を消す
soft	必要に応じて|一定の|所定の	量を隠す: 条件を書く（「10件を超えたら」）
soft	いくつか|多くの場合|ほとんど|概ね|ほぼ	量を隠す: 件数と、数えた範囲を書く
soft	多角的|包括的|総合的|網羅的	量を隠す: 何をどこまで見たのかを書く
hard	を行(う|い|った|いました|います)	冗長: 動詞そのものに戻す（「検証する」）
hard	することが(可能|でき)	冗長: 「できる」
hard	させていただ	冗長: 「する」
hard	(難し|多|良|高|低|速|遅|強|弱|少な|大き|小さ|嬉し|楽し)いです	冗長: 文を続けるか「〜である」で受ける
hard	✅|❌|🎉|🚀|🔥|👍|💡|✨|📝|⚠	装飾: 絵文字を使わない。状態は語で書く
soft	ことができ|ことが可能	冗長: 「できる」
soft	していく|してまいり	冗長: 「する」
soft	という形で|という点で|の観点から|という側面	冗長: 格助詞1つで足りることが多い
soft	において|における	冗長: 格助詞1つで足りることが多い
soft	上記|下記|前述	戻らせる: 指す先を名前で書く
soft	さらに、|また、|加えて、	連打していないか確認する
